Id,Iban,Currency,Balance,CustomerId,Destination
1,GE94SB5621487456325158,USD,6712.12,1,
2,GE71SB8745632154784124,GEL,125.98,5,
3,GE91SB8745680154786124,EUR,1145.11,12,
4,GE52SB1248690154796173,RUB,14000,4,
5,GE13SB0000145872596336,GBP,15476.13,8,
6,GE40SB0000896542427788,RUB,181,7,For Children
7,GE70SB1238742203698744,USD,22423.11,4,Business
8,GE65SB3215889645123458,GBP,445.2,2,
9,GE84SB4456987421356445,RUB,125,3,
10,GE77SB5541235894562144,GBP,1121,8,
11,GE86SB4489900256778651,RUB,2250,9,
12,GE91SB4412587693211000,GEL,3500,2,
13,GE95SB5541235489412557,USD,127000,4,Salary
14,GE55SB7785625594124589,EUR,1000000,6,Business
15,GE88SB5547896212354877,USD,15784,7,
16,GE65SB4485234795364871,GEL,15,8,
17,GE99SB4412354846312435,USD,2.25,9,
18,GE95SB4478212336984517,RUB,15,3,
19,GE66SB4578123644589411,EUR,136,4,
20,GE50SB7844123598745159,GEL,1224,2,
21,GE56589521475235541941,GEL,98.11,8,
22,GE12SB7748459621100457,GBP,881,7,For Wife
23,GE89SB5512359654475123,GEL,232,10,
24,GE89SB4477812351478951,EUR,5574,10,
25,GE72SB4981244123569182,USD,15977,10,
26,GE63SB4578412577896125,GEL,1300,7,
27,GE77SB1245789987456662,GEL,3000,9,
28,GE25SB1854721366954147,EUR,3588,3,
29,GE45SB7712459832149845,GEL,50000,3,
